,output,predict
0,{'Output': 'mismatch'},"dg0146famwl2pack\'], \'type\': \'Description:2.5-inch Serial Attached SCSI (SAS) SFF 6G Dual Port Hot-Plug Hard Drive In HPE Hot-Plug\'}', 'Entity_2': '{\'title\': \'EG0146FARTR HP 146-GB 6G"
1,{'Output': 'mismatch'},"{""Output"": ""match""}"
2,{'Output': 'match'},"\', \'description\': \'  \""Intel DC S3610 2,5\"" 800GB 2,5\"" SATA 6Gb/s 3D TLC 256MB Cache 24000TBW 10000000000000000000000000"
3,{'Output': 'match'},"300MB/s\', \'description\': \'  \""ST31000340AS Seagate 1TB 3.5\"" SATA Hard Drive\""@en  ', \'title\': \'Seagate ST31000340AS 1TB 3.5\"" SATA Hard Drive\', \'subcategory\': \'SATA\', \'sku"
4,{'Output': 'mismatch'},"2-B22 HP 160/320GB Super DLT 160/320GB 2.5\"" 160/320GB 2.5\"" 160/320GB 2.5\"" 160/320GB 2.5\"" 160/32"
5,{'Output': 'mismatch'},"3.0 3.5 inch Hard Drive Hdd\', \'brand\': \'Maxtor\', \'description\': \'  \""Maxtor 3.5 inch 320GB 7200RPM 3.5 inch Hard Drive 100000000000000000000000"
6,{'Output': 'mismatch'},"DDR3 PC3-15000C9 1866MHz Dual Channel Kit (CMZ8GX3M2A1866C9)\""@en 16GB LN73385 - CMZ8GX3M2A1866C9 System Memory 240-pin 2 x 4 GB 1"
7,{'Output': 'mismatch'},300876-B21 BL20P G2 Xeon 2.8GHz 512 1P 300876-B21 BL20P G2 Xeon 2.8GHz 512 1P 300876-B21 BL20P G2 Xeon 2
8,{'Output': 'mismatch'},"st10000ne0004]\', \'description\': \'  \""Seagate IronWolf Pro ST10000NE0004 - hard drive 10 TB SATA 6Gb/s\"" \"" Seagate 6Gb/s Enterprise Hard\', \'title\': \'Seagate IronWolf Pro ST10000NE0004"
9,{'Output': 'mismatch'},"0646i54460\', \'type\': \'Quad Core Technology, 3.20GHz clock speed, 6MB L3 Cache, Dual Channel DDR3 Controller, 22\'}', 'Entity_2': '{\""title\"": \""Intel Core i3-4150 3.50GHz (Haswell) Socket LGA"
10,{'Output': 'mismatch'},"{""Output"": ""match""}"
