tag,mode,ER-amazon-google,DI-amazon,SM-CMS,probe_mean
dense_n12_s0,dense,0.7505,0.6789,0.0177,0.4824
dense_n3_s0,dense,0.7831,0.6875,0.2384,0.5697
dense_n3_s1,dense,0.8098,0.6618,0.2078,0.5598
dense_n6_s0,dense,0.751,0.6691,0.209,0.543
dense_n6_s1,dense,0.7395,0.6801,0.2083,0.5427
dense_n9_s0,dense,0.7307,0.6875,0.2439,0.554
dense_n9_s1,dense,0.7461,0.6814,0.2722,0.5666
meld_s0,meld,0.7769,0.6667,0.0,0.4812
poly_n12_s0,poly,0.7386,0.6532,0.0233,0.4717
poly_n3_s0,poly,0.7525,0.652,0.0,0.4681
poly_n6_s0,poly,0.7232,0.6483,0.0,0.4572
poly_n9_s0,poly,0.6935,0.6397,0.0,0.4444
